sn,model,type,camera_id,extrinsics,x,y,z,yaw,pitch,roll,calibration_engineer,calibration_time,calibration_run,extrinsics,ref_lidar_id,device_path,hardware_trigger,rotate_90_ccw,expected_fps,roi,x,y,width,height,roi,full_undistort_fov,warp_perspective,warped_size,width,height,warped_size,camera_to_vehicle_extrinsics,x,y,z,yaw,pitch,roll,camera_to_vehicle_extrinsics,,,,,,,,,,,
H110SA-D11300393,IMX490_H115,HARDWARE_CAMERA,CAM_L_FRONT,{,0.077,0,-0.097,0.014608406,0.003595378,0.002827433,"""""","""""",,},LDR_FRONT_LEFT,"""/dev/video0""",TRUE,TRUE,20,{,220,960,1600,1920,},,,{,,,},{,,,,,,,},,,,,,,,,,,
H110SA-D11300029,IMX490_H115,HARDWARE_CAMERA,CAM_L_FRONT_LEFT,{,0.05,0.059,-0.097,0.878738372,0.003036873,-0.012269665,"""""","""""",,},LDR_FRONT_LEFT,"""/dev/video1""",TRUE,TRUE,20,{,190,960,1600,1920,},,,{,,,},{,,,,,,,},,,,,,,,,,,
H60S1-D12160014,IMX490_H60,HARDWARE_CAMERA,CAM_R_FRONT_DIM,{,0.0771,0,-0.097,0.001361357,-0.007644542,0.007853982,"""""","""""",,},LDR_FRONT_RIGHT,"""/dev/video2""",TRUE,FALSE,20,{,0,0,2880,1860,},,,{,,,},{,,,,,,,},,,,,,,,,,,
H110SA-D11300344,IMX490_H115,HARDWARE_CAMERA,CAM_L_FRONT_RIGHT,{,0.05,-0.059,-0.097,-0.877481735,0.014224433,0.00439823,"""""","""""",,},LDR_FRONT_LEFT,"""/dev/video3""",TRUE,TRUE,20,{,250,960,1600,1920,},,,{,,,},{,,,,,,,},,,,,,,,,,,
H110SA-D11300362,IMX490_H115,HARDWARE_CAMERA,CAM_R_RIGHT,{,-0.013,-0.076,-0.097,-1.720737563,-0.004468043,-0.003857178,"""""","""""",,},LDR_FRONT_RIGHT,"""/dev/video4""",TRUE,TRUE,20,{,10,1280,1600,1600,},,,{,,,},{,,,,,,,},,,,,,,,,,,
H60S1-C10280047,AR0231_H60,HARDWARE_CAMERA,CAM_INSIDE_DRIVER,{,,,,3.14,,,"""""","""""",,},LDR_FRONT_RIGHT,"""/dev/video6""",TRUE,,10,{,,,,,},,,{,,,},{,,,,,,,},,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn,model,type,antenna_extrinsics,id,x,y,z,calibration_time,calibration_engineer,antenna_extrinsics,antenna_extrinsics,id,x,y,z,calibration_time,calibration_engineer,antenna_extrinsics,format,data_port,udp,address,port,src_port,udp,tcp,address,port,tcp,data_port,command_port,udp,address,port,src_port,udp,command_port,imu_extrinsics,x,y,z,yaw,pitch,roll,calibration_engineer,calibration_time,calibration_run,imu_extrinsics,gnss_data_rate_hz,imu_data_rate_hz
GNSS_FPJGN4AJ,GNSS_NERTON_M2,HARDWARE_GNSS,{,ANT1,-0.521,-3.859,1.65,"""""","""""",},{,ANT2,0,-0.2095,1.58,"""""","""""",},NEWTONM2_TEXT,{,{,"""192.168.5.111""",3003,7000,},{,,,},},{,{,"""192.168.5.111""",3004,7001,},},{,-0.521,-3.85,-0.85,0,0,0,"""""","""""",,},20,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn,model,type,lidar_id,extrinsics,x,y,z,yaw,pitch,roll,calibration_engineer,calibration_time,calibration_run,extrinsics,enabled,valid_point_min_range,rs_lidar_params,difop_port,ip_address,rs_lidar_params,hesai_lidar_params,intensity_nonlinear_mapping,hesai_lidar_params,ouster_lidar_params,ip_address,ouster_lidar_params,port,ip,,,,,,,,,,,,,,,,,,,,,,
PA6439C55A9639C45E,LIDAR_PANDAR_64,HARDWARE_LIDAR,LDR_FRONT_LEFT,{,4.524533284,0.945507265,2.398,-0.035053415,0.007221857,-0.009267433,"""""","""""",,},TRUE,,{,,,},{,TRUE,},{,,},2368,"""192.168.6.201""",,,,,,,,,,,,,,,,,,,,,,
PA4038C9539238C854,LIDAR_PANDAR_40M,HARDWARE_LIDAR,LDR_FRONT_RIGHT,{,4.53427885,-0.962639469,2.424702098,-0.018390025,0.007880032,-0.017085354,"""""","""""",,},TRUE,,{,,,},{,TRUE,},{,,},2369,"""192.168.6.202""",,,,,,,,,,,,,,,,,,,,,,
